Year,Faculty,Department,Module,CalGroup,Activity,Group,Day,Period,Building,BuildingName,Room,Alloc,Capacity,Max,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Lecture,1,MON,2,7,LECTURE HALLS C,C9,0,180,120,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Lecture,1,TUE,2,15,PREFABS,OC,0,120,120,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Lecture,1,WED,2,10,LECTURE HALLS NEW SCIENCE,SC8,0,130,120,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Practical,1,TUE,5,4,OLD ARTS,L3,0,60,120,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Practical,1,TUE,6,4,OLD ARTS,L3,0,60,120,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Practical,2,TUE,5,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Practical,2,TUE,6,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Practical,3,FRI,3,4,OLD ARTS,L3,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG231,SEM 1,Practical,3,FRI,4,4,OLD ARTS,L3,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Lecture,1,MON,2,6,LECTURE HALLS B,B4,0,130,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Lecture,1,TUE,3,17,DENTISTRY PRE-CLINICAL,D13,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,1,TUE,5,4,OLD ARTS,L3,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,1,TUE,6,4,OLD ARTS,L3,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,2,FRI,2,29,LIFE SCIENCE BUILDING,B1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,2,FRI,3,29,LIFE SCIENCE BUILDING,B1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,2,FRI,4,29,LIFE SCIENCE BUILDING,B1,0,110,110,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,3,FRI,2,4,OLD ARTS,L3,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,3,FRI,3,4,OLD ARTS,L3,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,3,FRI,4,4,OLD ARTS,L3,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,4,WED,5,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,4,WED,6,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG232,SEM 2,Practical,4,WED,7,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Lecture,1,MON,3,15,PREFABS,OA,0,120,120,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Lecture,1,TUE,2,17,DENTISTRY PRE-CLINICAL,C2,0,220,120,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Lecture,1,WED,1,12,NEW SCIENCE,SC6,0,200,120,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Practical,1,MON,5,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Practical,1,MON,6,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Practical,1,MON,7,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Practical,1,THU,5,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Practical,1,THU,6,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Practical,1,THU,7,4,OLD ARTS,L7,0,60,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2014,SCI,EARTH SCIENCE,APG311,SEM 1,Tutorial,1,MON,3,2,OLD SCIENCE,N98,0,80,80,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2014,SCI,EARTH SCIENCE,APG312,SEM 1,Lecture,1,MON,1,15,PREFABS,OA,0,120,60,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
